Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,True,False,False
True,False,True,False,False
True,False,False,True,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,True,False,False
True,False,False,True,False
False,True,False,False,True
False,True,False,True,False
True,False,False,True,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,True,False
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,True,False,False
False,True,False,True,False
False,True,False,False,True
True,False,False,True,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,True,False
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,True,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
True,False,True,False,False
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,True,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
True,False,False,False,True
True,False,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,True,False
False,True,False,True,False
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,True,False,False
False,True,True,False,False
True,False,True,False,False
True,False,True,False,False
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,True,False,False
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,True,False
True,False,False,True,False
False,True,False,False,True
False,True,True,False,False
True,False,True,False,False
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
True,False,True,False,False
True,False,True,False,False
True,False,False,True,False
True,False,True,False,False
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,True,False,False
False,True,True,False,False
False,True,False,False,True
True,False,True,False,False
True,False,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,True,False
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
True,False,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
True,False,False,True,False
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,True,False,False
False,True,True,False,False
False,True,False,True,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,True,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,True,False
True,False,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,True,False
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,True,False,False
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
True,False,True,False,False
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,True,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,True,False
False,True,False,True,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
True,False,False,False,True
False,True,False,True,False
True,False,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,True,False,False
False,True,False,True,False
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,True,False
False,True,False,False,True
False,True,True,False,False
False,True,False,True,False
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,True,False,False
False,True,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,True,False,False
False,True,True,False,False
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,True,False,False
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,True,False,False
True,False,False,False,True
False,True,False,False,True
True,False,False,False,True
False,True,False,False,True
False,True,False,False,True
True,False,False,True,False
False,True,False,False,True
True,False,False,False,True
True,False,False,False,True
False,True,True,False,False
False,True,False,True,False
